user,eye,code,motion,speed
1,left,102,smooth,855.32
1,left,102,smooth,442.24
1,left,102,smooth,14.23
1,left,102,smooth,37.61
1,left,102,smooth,20.73
1,left,102,smooth,120.84
1,left,102,smooth,143.88
1,left,102,smooth,60.92
1,left,102,smooth,43.06
1,left,102,smooth,177.44
1,left,102,smooth,18.33
1,left,102,smooth,55.96
1,left,102,smooth,31.36
1,left,102,smooth,293.71
1,left,102,smooth,52.79
1,left,102,smooth,426.27
1,left,102,smooth,278.74
1,left,102,smooth,330.12
1,left,102,smooth,783.64
1,left,102,smooth,9.73
1,left,102,smooth,262.39
1,left,102,smooth,349.05
1,left,102,smooth,446.29
1,left,102,smooth,255.09
1,left,102,smooth,232.74
1,left,102,smooth,138.33
1,left,102,smooth,125.79
1,left,102,smooth,53.15
1,left,102,smooth,3.39
1,left,102,smooth,215.9
1,left,102,smooth,1003.95
1,left,102,smooth,124.22
1,left,102,smooth,419.74
1,left,102,smooth,159.27
1,left,102,smooth,202.55
1,left,102,smooth,3.09
1,left,102,smooth,3.25
1,left,102,smooth,685.14
1,left,102,smooth,465.2
1,left,102,smooth,8.11
1,left,102,smooth,70.84
1,left,102,smooth,1310.41
1,left,102,smooth,156.33
1,left,102,smooth,36.84
1,left,102,smooth,0.16
1,left,102,smooth,94.76
1,left,102,smooth,47.58
1,left,102,smooth,245.56
1,left,102,smooth,4.4
1,left,102,smooth,0.0
1,left,102,smooth,213.28
1,left,102,smooth,0.62
1,left,102,smooth,183.87
1,left,102,smooth,125.16
1,left,102,smooth,84.54
1,left,102,smooth,148.35
1,left,102,smooth,42.67
1,left,102,smooth,512.77
1,left,102,smooth,36.91
1,left,102,smooth,65.13
1,left,102,smooth,556.28
1,left,102,smooth,193.91
1,left,102,smooth,37.66
1,left,102,smooth,10.1
1,left,102,smooth,22.44
1,left,102,smooth,79.66
1,left,102,smooth,24.7
1,left,102,smooth,148.46
1,left,102,smooth,190.17
1,left,102,smooth,11.08
1,left,102,smooth,255.53
1,left,102,smooth,643.52
1,left,102,smooth,3.13
