subject,motion_state,n,mean,median,p95,p99
37,Fixation,82,28.013814732386003,27.444226459828233,54.21463328942837,58.72976138859024
37,Saccade,1,56.35981344863111,56.35981344863111,56.35981344863111,56.35981344863111
37,Smooth,95,29.638848186202036,26.74154747575865,62.262637773401075,69.97698781980885
38,Fixation,88,3.489106034833344,3.4654382970801008,4.569729347550391,4.835447326812322
38,Saccade,1,1.9194441912484062,1.9194441912484062,1.9194441912484062,1.9194441912484062
38,Smooth,100,3.4696093871094256,3.420534507361405,4.777579705297905,5.000286705184051
39,Fixation,64,5.844605887587523,3.465481717003591,21.403999608932274,44.1153458439929
39,Saccade,4,2.4398578840932164,1.9636506896222183,3.685810115368594,3.919736023994181
39,Smooth,76,10.878751250441315,3.246844286514416,59.80653588753448,63.72256584951161
40,Fixation,88,6.029663513770502,3.6866478232776068,23.18459451299594,30.028590656064527
40,Saccade,6,18.059831409685017,9.63053176275412,42.81193400888042,43.92179443409022
40,Smooth,108,4.818876320942946,3.5402515018615874,13.971863499073958,28.69661127984712
41,Fixation,88,3.32483702524237,3.2905047214870233,4.998343578505364,5.273657728587186
41,Saccade,7,3.105062450362167,3.316811693216646,3.873577317860645,3.9953693799095134
41,Smooth,97,3.4484749800017935,3.3297745837159995,5.360647677545808,5.9339452438437235
42,Fixation,84,4.511754472338452,3.539264654242957,9.897253943371558,10.681404349528393
42,Saccade,3,4.159108184249011,3.8541360789029686,6.748206694912456,7.005457416335521
42,Smooth,99,6.79838731451492,3.4937677618965006,12.123843438529008,68.40476281570295
43,Fixation,91,11.831385629807786,3.673709512090877,58.14213239497492,63.586881477398066
43,Saccade,1,3.2339955747052844,3.2339955747052844,3.2339955747052844,3.2339955747052844
43,Smooth,97,11.892827399142348,3.870542320693323,46.04403739315602,67.653098612382
44,Fixation,98,29.947125927825194,35.12734270242012,62.74592213701866,68.74384439925429
44,Saccade,2,2.2425176962613325,2.2425176962613325,2.444662115045563,2.4626305078263835
44,Smooth,107,28.073736773645425,29.748541856257788,62.85741051296266,70.90178148253113
45,Fixation,70,20.386978603795985,10.03621997258228,82.79868834726258,99.75624161177812
45,Saccade,3,15.770296334968089,3.135978674621402,38.71135382069764,41.87360938923776
45,Smooth,105,13.436948677841892,6.864165072583941,42.93618762764454,91.14499779576217
46,Fixation,77,25.931653685973437,21.736795308825133,59.29146334278265,64.99007938827047
46,Smooth,85,30.186981062100916,24.80541845914057,63.55341263424241,67.75547903563464
47,Fixation,91,2.9125359734683642,2.7791231153403433,4.234938281779568,4.3650456778363464
47,Saccade,4,3.2633840006396486,3.4495480517828256,4.116937531570567,4.140759827244652
47,Smooth,112,3.160043553544305,3.0284894969900864,4.669938498645515,5.3429548864488225
48,Fixation,75,4.835185568410108,3.529059879480881,9.903775050804729,29.038405810222187
48,Saccade,2,5.814621251871381,5.814621251871381,8.248446288638775,8.464786291906988
48,Smooth,99,5.840942081482663,3.5179645380049047,26.037392850217415,44.9719606098152
