subject,n,mean,median,p95,p99
37,178,32.86522079265876,33.11300989515563,59.03416168894181,72.98508999848511
38,191,49.57352485469007,51.09675053349272,76.06856479599696,78.77688808726558
39,144,60.55127481537723,61.90046687816925,93.63460649003783,106.22248512934485
40,204,33.943383594221245,32.25429183532879,56.4544839623639,58.8370096108749
41,198,58.404666884882154,58.99723303279484,102.72126982021895,105.46974532511884
42,195,41.75118877949586,41.39626058881566,77.81980126373293,84.49995709157128
43,191,35.595368667494455,35.0408391280173,63.41962623415105,70.11967727185045
44,207,62.95746678222513,61.739452088342446,99.15075563839237,111.09217451154815
45,180,51.94564596074112,53.31435296655734,85.20968221183794,91.41540165461322
46,163,31.571966485609195,28.079343064278493,57.82134743173244,61.40754197378351
47,207,26.191406225262803,24.51524660011173,56.076195234025896,62.134473917481124
48,180,31.86818327130199,32.597300507280956,49.650756509685294,54.44546013665642
