key,motion,role,user,eye,session,frame_index,frame_ts_us,has_gt,gt_cx,gt_cy,gt_rx,gt_ry,gt_theta,unet_valid,unet_cx,unet_cy,unet_area,src_frame,dst_frame
fixation_user1_left_session_1_0_2_w000_a000010,fixation,neighbor,user1,left,session_1_0_2,5,1657711084617716,False,,,,,,True,166.847,137.238,1208,/mnt/e/DATASET/eveye/raw_data/Data_davis/user1/left/session_1_0_2/frames/000005_1657711084617716.png,../samples/frame/fixation_user1_left_session_1_0_2_w000_a000010/000005_1657711084617716.png
fixation_user1_left_session_1_0_2_w000_a000010,fixation,neighbor,user1,left,session_1_0_2,6,1657711084657716,False,,,,,,True,166.978,137.223,1216,/mnt/e/DATASET/eveye/raw_data/Data_davis/user1/left/session_1_0_2/frames/000006_1657711084657716.png,../samples/frame/fixation_user1_left_session_1_0_2_w000_a000010/000006_1657711084657716.png
fixation_user1_left_session_1_0_2_w000_a000010,fixation,neighbor,user1,left,session_1_0_2,7,1657711084697716,False,,,,,,True,166.948,137.181,1218,/mnt/e/DATASET/eveye/raw_data/Data_davis/user1/left/session_1_0_2/frames/000007_1657711084697716.png,../samples/frame/fixation_user1_left_session_1_0_2_w000_a000010/000007_1657711084697716.png
fixation_user1_left_session_1_0_2_w000_a000010,fixation,neighbor,user1,left,session_1_0_2,8,1657711084737717,False,,,,,,True,166.799,137.122,1223,/mnt/e/DATASET/eveye/raw_data/Data_davis/user1/left/session_1_0_2/frames/000008_1657711084737717.png,../samples/frame/fixation_user1_left_session_1_0_2_w000_a000010/000008_1657711084737717.png
fixation_user1_left_session_1_0_2_w000_a000010,fixation,neighbor,user1,left,session_1_0_2,9,1657711084777717,False,,,,,,True,167.015,137.103,1226,/mnt/e/DATASET/eveye/raw_data/Data_davis/user1/left/session_1_0_2/frames/000009_1657711084777717.png,../samples/frame/fixation_user1_left_session_1_0_2_w000_a000010/000009_1657711084777717.png
fixation_user1_left_session_1_0_2_w000_a000010,fixation,anchor,user1,left,session_1_0_2,10,1657711084817717,True,168.0,138.0,21.15,19.0,2.636,True,167.058,137.224,1234,/mnt/e/DATASET/eveye/raw_data/Data_davis/user1/left/session_1_0_2/frames/000010_1657711084817717.png,../samples/frame/fixation_user1_left_session_1_0_2_w000_a000010/000010_1657711084817717.png
fixation_user1_left_session_1_0_2_w000_a000010,fixation,neighbor,user1,left,session_1_0_2,11,1657711084857717,False,,,,,,True,166.913,137.21,1237,/mnt/e/DATASET/eveye/raw_data/Data_davis/user1/left/session_1_0_2/frames/000011_1657711084857717.png,../samples/frame/fixation_user1_left_session_1_0_2_w000_a000010/000011_1657711084857717.png
fixation_user1_left_session_1_0_2_w000_a000010,fixation,neighbor,user1,left,session_1_0_2,12,1657711084897717,False,,,,,,True,166.905,137.207,1239,/mnt/e/DATASET/eveye/raw_data/Data_davis/user1/left/session_1_0_2/frames/000012_1657711084897717.png,../samples/frame/fixation_user1_left_session_1_0_2_w000_a000010/000012_1657711084897717.png
fixation_user1_left_session_1_0_2_w000_a000010,fixation,neighbor,user1,left,session_1_0_2,13,1657711084937717,False,,,,,,True,166.818,137.378,1233,/mnt/e/DATASET/eveye/raw_data/Data_davis/user1/left/session_1_0_2/frames/000013_1657711084937717.png,../samples/frame/fixation_user1_left_session_1_0_2_w000_a000010/000013_1657711084937717.png
fixation_user1_left_session_1_0_2_w000_a000010,fixation,neighbor,user1,left,session_1_0_2,14,1657711084977717,False,,,,,,True,166.942,137.309,1245,/mnt/e/DATASET/eveye/raw_data/Data_davis/user1/left/session_1_0_2/frames/000014_1657711084977717.png,../samples/frame/fixation_user1_left_session_1_0_2_w000_a000010/000014_1657711084977717.png
