(36.568069, 29.794174, 0.0)
(36.619282, 29.736904, 0.0)
(36.637260, 29.693491, 0.0)
(36.664013, 29.687042, 0.0)
(36.697681, 29.663139, 0.0)
(36.975605, 29.928524, 0.0)
(36.929531, 29.995762, 0.0)
(36.908978, 29.947462, 0.0)
(36.908733, 29.943396, 0.0)
(36.959812, 29.941645, 0.0)
(36.964378, 29.928562, 0.0)
(36.984730, 29.920780, 0.0)
(36.966942, 29.904530, 0.0)
(36.925446, 30.131033, 0.0)
(36.584827, 30.195187, 0.0)
(36.513702, 29.390081, 0.0)
(36.490292, 29.332302, 0.0)
(36.502720, 29.405712, 0.0)
(36.506107, 29.425409, 0.0)
(36.832035, 29.629200, 0.0)
(36.788929, 29.631935, 0.0)
(36.781666, 29.643072, 0.0)
(36.770210, 29.679121, 0.0)
(36.741985, 29.676979, 0.0)
(36.758938, 29.667946, 0.0)
(36.737980, 29.695726, 0.0)
(36.736607, 29.694881, 0.0)
(36.751511, 29.720924, 0.0)
(36.758820, 29.731205, 0.0)
(36.790947, 29.742355, 0.0)
(36.875347, 29.744522, 0.0)
(36.918743, 29.803169, 0.0)
(36.947212, 29.860140, 0.0)
(36.946041, 29.847441, 0.0)
(36.955318, 29.843630, 0.0)
(36.955208, 29.852289, 0.0)
(36.825104, 29.826292, 0.0)
(36.793087, 29.806898, 0.0)
(36.785763, 29.811737, 0.0)
(36.823788, 29.849781, 0.0)
(36.815311, 29.857250, 0.0)
(36.799622, 29.848164, 0.0)
(36.965202, 29.891996, 0.0)
(36.957077, 29.935356, 0.0)
(36.947121, 29.941914, 0.0)
(36.943417, 29.927689, 0.0)
(36.913261, 29.925173, 0.0)
(36.895496, 29.920433, 0.0)
(36.883236, 29.922138, 0.0)
(36.729950, 29.878746, 0.0)
(36.694572, 29.925049, 0.0)
(36.640087, 29.937103, 0.0)
(36.638897, 29.944796, 0.0)
(36.640743, 29.940222, 0.0)
(36.615501, 29.937563, 0.0)
(36.619251, 29.923523, 0.0)
(36.623444, 29.921591, 0.0)
(36.629108, 29.924768, 0.0)
(36.764610, 29.980143, 0.0)
(36.743092, 29.940708, 0.0)
(36.745956, 29.937532, 0.0)
(36.766197, 29.939735, 0.0)
(36.771469, 29.942272, 0.0)
(36.783020, 29.921267, 0.0)
(36.778133, 29.909740, 0.0)
(36.783020, 29.921267, 0.0)
(36.681747, 29.970318, 0.0)
(36.696335, 29.961258, 0.0)
(36.717464, 29.989277, 0.0)
(36.711914, 29.976799, 0.0)
(36.719780, 29.972893, 0.0)
(36.686413, 29.974131, 0.0)
(36.664017, 29.977163, 0.0)
(36.886002, 29.909023, 0.0)
(36.890278, 29.882198, 0.0)
(36.899174, 29.864639, 0.0)
(36.894562, 29.855085, 0.0)
(36.869862, 29.835857, 0.0)
(36.864223, 29.839180, 0.0)
(36.866825, 29.848829, 0.0)
(36.874489, 29.849367, 0.0)
(36.876263, 29.841106, 0.0)
(36.883057, 29.846035, 0.0)
(36.900043, 29.835789, 0.0)
(36.880527, 29.838951, 0.0)
(36.897224, 29.834724, 0.0)
(36.881279, 29.851187, 0.0)
(36.696087, 29.824924, 0.0)
(36.703526, 29.816479, 0.0)
(36.706135, 29.788626, 0.0)
(36.704807, 29.785942, 0.0)
(36.678497, 29.832350, 0.0)
(36.663418, 29.849010, 0.0)
(36.802418, 29.850477, 0.0)
(36.895325, 29.900934, 0.0)
(36.890594, 29.885008, 0.0)
(36.873928, 29.910934, 0.0)
(36.889862, 29.898714, 0.0)
(36.866882, 29.901585, 0.0)
(36.874664, 29.918716, 0.0)
(36.835159, 29.904039, 0.0)
(36.853565, 29.884581, 0.0)
(36.760715, 29.887594, 0.0)
(36.675396, 29.838770, 0.0)
(36.651569, 29.831919, 0.0)
(36.642658, 29.869112, 0.0)
(36.641151, 29.888098, 0.0)
(36.664936, 29.873320, 0.0)
(36.694126, 29.860992, 0.0)
(36.724491, 29.850618, 0.0)
(36.832581, 29.857292, 0.0)
(36.849770, 29.861778, 0.0)
(36.795151, 29.868702, 0.0)
